           CurrError          VanishGrad         ResetWeight       ChangeInitial    RelocateInterval
            6.752396                   0                  -1                  -1                   0
            5.219128                   0                 100                  -1                   0
            5.219130                   0                 100                  -1                   0
            4.432360                   0                 101                  -1                   1
            4.432266                   0                 101                  -1                   2
           26.500000                   0                  -1                  -1                   0
            0.500000                   0                 101                  -1                   0
            0.000000                   0                 101                  -1                   0
